Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,corr_n_points,corr_tau50_s,corr_tau20_s,corr_auc_logx,corr_initial_slope_logx,corr_y_start,corr_y_end,dist_n_points,dist_peak_x,dist_auc_logx,dist_width_halfmax_logx,dist_centroid_x,dist_signal_raw_max,dist_signal_raw_min,Z_Average_d_nm,PdI,Mean_Count_Rate_kcps,Intercept,Quality_Factor
i_2S-20ug_mL 1,i_2S-20ug_mL,water,iota,20 ug/mL,1.0,192,7502.600484892899,75516.26580635279,4.057829111882042,-0.005925932107354317,1.17,0.0,40.0,0.46,2.6957153452237947,3.0390409042384867,5.3151926593492425,1.05,0.00479,2994.0,1.0,40.1,1.05,0.0
i_2S-20ug_mL 2,i_2S-20ug_mL,water,iota,20 ug/mL,2.0,192,929.0281540031176,127739.38530845109,3.6397153186998645,-0.02114856869837369,0.528,0.0,40.0,0.188,2.5827807238692606,3.34151988563924,2.949038136360942,0.658,0.00135,761.5,0.547,31.7,0.657,0.0
i_2S-20ug_mL 3,i_2S-20ug_mL,water,iota,20 ug/mL,3.0,192,888.269060648219,6095.790598523446,3.452716191123092,0.001381956064746392,0.299,0.0,39.0,0.127,2.863265282469203,3.62526224640906,2.645341561500129,0.516,0.000647,870.1,0.415,164.6,0.517,0.0
i_2S-20ug_mL-mean,,,,,,192,7502.600484892899,75516.26580635279,4.057829111882042,-0.005925932107354317,1.17,0.0,40.0,0.46,2.6957153452237947,3.0390409042384867,5.3151926593492425,1.05,0.00479,,,,,
k_1s-100ug_mL 1,k_1s-100ug_mL,water,kappa,100 ug/mL,1.0,192,1499.73548343071,5050.684442406753,3.4103258793956805,0.03540717442864559,0.0949,0.0,40.0,2.0,3.084463101400463,3.1856365769619117,65.57878595264626,0.305,0.0351,1530.0,0.69,286.7,0.305,0.0
k_1s-100ug_mL 2,k_1s-100ug_mL,water,kappa,100 ug/mL,2.0,192,1474.4272523801335,5179.766875564852,3.4449086792434844,0.037767398158770095,0.0879,0.0,40.0,0.0319,3.034566223366222,4.2509705885228755,2.1342585511752126,0.287,3.49e-05,1516.0,0.57,311.0,0.287,0.0
k_1s-100ug_mL 3,k_1s-100ug_mL,water,kappa,100 ug/mL,3.0,192,1028.0111989442617,3290.4280803449124,3.2426934085763675,0.03826754648867087,0.0773,0.0,40.0,0.0229,3.2556023900948814,4.697456781613778,6.295612307747092,0.278,0.000588,1063.0,0.723,269.7,0.276,0.0
k_1s-100ug_mL-mean,,,,,,192,1499.73548343071,5050.684442406753,3.4103258793956805,0.03540717442864559,0.0949,0.0,40.0,2.0,3.084463101400463,3.1856365769619117,65.57878595264626,0.305,0.0351,,,,,
k_1s-1mg_mL 1,k_1s-1mg_mL,water,kappa,1 mg/mL,1.0,192,990.2501577682847,2831.0184749140963,3.2201749551039467,-0.006161038778670318,0.837,0.0,40.0,0.173,2.8462267152504372,3.697988547462041,3.4197018530509546,0.913,0.00128,1164.0,0.488,207.0,0.915,0.0
k_1s-1mg_mL 2,k_1s-1mg_mL,water,kappa,1 mg/mL,2.0,192,842.8137761776914,2024.9401242633455,3.1147256255045406,-0.0038555612200908175,0.826,0.0,39.0,0.137,2.795746757258607,3.8048268389702686,2.1279240951932112,0.9045000000000001,8.36e-05,1006.0,0.309,201.8,0.907,0.0
k_1s-1mg_mL 3,k_1s-1mg_mL,water,kappa,1 mg/mL,3.0,192,824.0196123625939,1944.7311033592084,3.1323133462588197,-0.0036930579604948738,0.801,0.0,39.0,0.128,2.4740378141523336,3.3682278951494675,3.012940781238112,0.885,0.000329,989.9,0.187,208.0,0.887,0.0
k_1s-1mg_mL-mean,,,,,,192,990.2501577682847,2831.0184749140963,3.2201749551039467,-0.006161038778670318,0.837,0.0,40.0,0.173,2.8462267152504372,3.697988547462041,3.4197018530509546,0.913,0.00128,,,,,
