sample_base,carrageenan,matrix,point_index,x_mean,y_mean,y_std,n
aMEM-Ctrl-mean,,medium,23,4.5,0.895,,1
aMEM-Ctrl-mean,,medium,24,5.5,0.891,,1
aMEM-Ctrl-mean,,medium,25,7.5,0.889,,1
aMEM-Ctrl-mean,,medium,26,9.5,0.885,,1
aMEM-Ctrl-mean,,medium,27,11.5,0.882,,1
aMEM-Ctrl-mean,,medium,28,14.5,0.876,,1
aMEM-Ctrl-mean,,medium,29,18.5,0.868,,1
aMEM-Ctrl-mean,,medium,30,22.5,0.861,,1
aMEM-Ctrl-mean,,medium,31,28.5,0.852,,1
aMEM-Ctrl-mean,,medium,32,36.5,0.843,,1
aMEM-Ctrl-mean,,medium,33,44.5,0.833,,1
aMEM-Ctrl-mean,,medium,34,56.5,0.82,,1
aMEM-Ctrl-mean,,medium,35,68.5,0.805,,1
aMEM-Ctrl-mean,,medium,36,84.5,0.793,,1
aMEM-Ctrl-mean,,medium,37,109.0,0.777,,1
aMEM-Ctrl-mean,,medium,38,141.0,0.757,,1
aMEM-Ctrl-mean,,medium,39,173.0,0.744,,1
aMEM-Ctrl-mean,,medium,40,221.0,0.726,,1
aMEM_10pct-Ctrl,,medium,1,2.52,0.2762833333333333,0.46914164964681326,3
aMEM_10pct-Ctrl,,medium,2,3.1805333333333334,0.2702233333333333,0.461398621620539,3
aMEM_10pct-Ctrl,,medium,3,3.8462666666666667,0.26455666666666666,0.454181380544528,3
aMEM_10pct-Ctrl,,medium,4,4.849933333333333,0.25350666666666666,0.43690406845591784,3
aMEM_10pct-Ctrl,,medium,5,6.182133333333333,0.244464,0.4222185665754172,3
aMEM_10pct-Ctrl,,medium,6,7.5174666666666665,0.5217736666666667,0.45769521810953334,3
aMEM_10pct-Ctrl,,medium,7,9.513933333333332,0.5073693333333333,0.44802850938454053,3
aMEM_10pct-Ctrl,,medium,8,12.1823,0.7756666666666666,0.12637378420120743,3
aMEM_10pct-Ctrl,,medium,9,14.844666666666667,0.7546666666666666,0.13957554704651287,3
aMEM_10pct-Ctrl,,medium,10,18.8457,0.73,0.15923881436383527,3
aMEM_10pct-Ctrl,,medium,11,23.3398,0.7013333333333334,0.1801813900860278,3
aMEM_10pct-Ctrl,,medium,12,28.839433333333332,0.673,0.19431675172254195,3
aMEM_10pct-Ctrl,,medium,13,37.17203333333333,0.641,0.21223336212763533,3
aMEM_10pct-Ctrl,,medium,14,48.171600000000005,0.608,0.21886297082878137,3
aMEM_10pct-Ctrl,,medium,15,59.666666666666664,0.5733333333333334,0.22712624976724582,3
aMEM_10pct-Ctrl,,medium,16,76.16666666666667,0.5336666666666666,0.23793346408887783,3
aMEM_10pct-Ctrl,,medium,17,98.33333333333333,0.494,0.2459288514997783,3
aMEM_10pct-Ctrl,,medium,18,120.66666666666667,0.452,0.24389341934541817,3
aMEM_10pct-Ctrl,,medium,19,153.66666666666666,0.4106666666666667,0.24001736048322278,3
aMEM_10pct-Ctrl,,medium,20,197.66666666666666,0.37100000000000005,0.23131796298601628,3
aMEM_10pct-Ctrl,,medium,21,242.33333333333334,0.32863333333333333,0.21328244966085075,3
aMEM_10pct-Ctrl,,medium,22,308.3333333333333,0.29346666666666665,0.1983533547317346,3
aMEM_10pct-Ctrl,,medium,23,396.6666666666667,0.2561,0.17878123503321036,3
aMEM_10pct-Ctrl,,medium,24,483.6666666666667,0.21653333333333333,0.1676026650543879,3
aMEM_10pct-Ctrl,,medium,25,617.6666666666666,0.18563333333333332,0.14364192749101265,3
aMEM_10pct-Ctrl,,medium,26,793.0,0.15873333333333334,0.11434777362648271,3
aMEM_10pct-Ctrl,,medium,27,969.0,0.12716666666666668,0.09301657558378149,3
aMEM_10pct-Ctrl,,medium,28,1233.6666666666667,0.10583333333333333,0.07537296155342002,3
aMEM_10pct-Ctrl,,medium,29,1584.5,0.08803333333333334,0.057728704587348335,3
aMEM_10pct-Ctrl,,medium,30,1942.5,0.0636,0.04636086711872417,3
aMEM_10pct-Ctrl,,medium,31,2467.1666666666665,0.056499999999999995,0.029912539176739913,3
aMEM_10pct-Ctrl,,medium,32,152.75,0.062299999999999994,0.011596551211459376,2
aMEM_10pct-Ctrl,,medium,33,197.0,0.048049999999999995,0.005727564927611039,2
aMEM_10pct-Ctrl,,medium,34,245.0,0.04035,0.007000357133746822,2
aMEM_10pct-Ctrl,,medium,35,309.0,0.030600000000000002,0.005091168824543145,2
aMEM_10pct-Ctrl,,medium,36,397.0,0.0343,0.010465180361560907,2
aMEM_10pct-Ctrl,,medium,37,493.0,0.026099999999999998,0.002545584412271574,2
aMEM_10pct-Ctrl,,medium,38,621.0,0.0284,0.004101219330881977,2
aMEM_10pct-Ctrl,,medium,39,797.5,0.0221,0.008061017305526639,2
aMEM_10pct-Ctrl,,medium,40,986.5,0.027200000000000002,0.0015556349186104039,2
aMEM_10pct-Ctrl-mean,,medium,1,0.0285,0.00434,,1
aMEM_10pct-Ctrl-mean,,medium,2,0.0155,0.00316,,1
aMEM_10pct-Ctrl-mean,,medium,3,0.0178,0.00199,,1
aMEM_10pct-Ctrl-mean,,medium,4,0.0252,0.00111,,1
aMEM_10pct-Ctrl-mean,,medium,5,0.0258,0.000629,,1
aMEM_10pct-Ctrl-mean,,medium,6,0.0261,0.857,,1
aMEM_10pct-Ctrl-mean,,medium,7,0.021,0.849,,1
aMEM_10pct-Ctrl-mean,,medium,8,0.0289,0.841,,1
aMEM_10pct-Ctrl-mean,,medium,9,0.0173,0.824,,1
aMEM_10pct-Ctrl-mean,,medium,10,0.0176,0.806,,1
aMEM_10pct-Ctrl-mean,,medium,11,1.5,0.79,,1
aMEM_10pct-Ctrl-mean,,medium,12,2.0,0.763,,1
aMEM_10pct-Ctrl-mean,,medium,13,2.5,0.735,,1
aMEM_10pct-Ctrl-mean,,medium,14,3.5,0.708,,1
aMEM_10pct-Ctrl-mean,,medium,15,4.5,0.676,,1
aMEM_10pct-Ctrl-mean,,medium,16,5.5,0.634,,1
aMEM_10pct-Ctrl-mean,,medium,17,7.5,0.599,,1
aMEM_10pct-Ctrl-mean,,medium,18,9.5,0.552,,1
aMEM_10pct-Ctrl-mean,,medium,19,11.5,0.499,,1
aMEM_10pct-Ctrl-mean,,medium,20,14.5,0.457,,1
aMEM_10pct-Ctrl-mean,,medium,21,18.5,0.404,,1
aMEM_10pct-Ctrl-mean,,medium,22,22.5,0.36,,1
aMEM_10pct-Ctrl-mean,,medium,23,28.5,0.315,,1
aMEM_10pct-Ctrl-mean,,medium,24,36.5,0.263,,1
aMEM_10pct-Ctrl-mean,,medium,25,44.5,0.217,,1
aMEM_10pct-Ctrl-mean,,medium,26,56.5,0.183,,1
aMEM_10pct-Ctrl-mean,,medium,27,68.5,0.148,,1
